age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
90.0,329866.53,14.0,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,,>50K
45.0,225548.08,13.0,0.0,3770.0,50.0,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
32.0,192459.7,14.0,0.0,0.0,42.0,,Masters,Never-married,,Not-in-family,White,Female,United-States,<=50K
17.0,126519.945,1.0,0.0,0.0,31.297983,Private,7th-8th,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
33.0,290627.3,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
21.0,117166.2,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,Black,Male,United-States,<=50K
31.0,240646.25,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
24.0,298603.62,10.0,0.0,0.0,35.0,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
38.0,184336.84,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
42.0,139650.55,14.0,0.0,0.0,40.0,Local-gov,Masters,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,United-States,>50K
22.0,218657.75,9.0,0.0,0.0,40.0,Local-gov,11th,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
20.0,160221.23,9.0,0.0,0.0,40.0,,Some-college,Never-married,,Own-child,White,Male,United-States,<=50K
28.0,193733.75,9.0,0.0,0.0,48.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
54.0,254749.39,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Transport-moving,Not-in-family,Black,Male,United-States,<=50K
57.0,224713.77,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
29.0,462997.28,11.0,0.0,0.0,45.0,Private,Assoc-voc,Never-married,Sales,Not-in-family,Black,Female,,<=50K
35.61002,145723.47,15.0,0.0,0.0,60.0,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,,>50K
44.0,13492.0,14.0,0.0,0.0,43.0,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
33.0,87395.01,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
47.046734,220815.56,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
44.0,150781.67,13.0,0.0,0.0,48.0,,Masters,Divorced,,Not-in-family,White,Male,United-States,<=50K
39.0,151588.95,13.0,0.0,0.0,40.0,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
31.0,169753.12,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Sales,Other-relative,White,Female,United-States,<=50K
31.0,159054.53,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
20.0,159161.69,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
25.0,187353.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
37.0,55517.586,14.0,0.0,0.0,60.0,Private,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
62.0,169840.72,9.0,0.0,0.0,35.0,,HS-grad,Married-civ-spouse,,Husband,White,Male,United-States,>50K
43.0,241407.81,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Female,United-States,<=50K
39.0,79961.445,14.0,0.0,0.0,40.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
37.0,175735.5,13.0,0.0,0.0,38.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
47.0,153158.42,10.0,0.0,0.0,40.0,Private,Some-college,Separated,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
49.0,268139.53,9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
36.0,172680.05,13.0,0.0,0.0,50.0,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
28.0,13492.0,1.0,0.0,0.0,40.0,Private,11th,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
52.0,1484705.0,14.0,0.0,0.0,45.0,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
28.0,232909.36,10.0,0.0,0.0,45.0,Private,Some-college,Never-married,Craft-repair,Own-child,Black,Male,United-States,<=50K
23.0,190321.98,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
50.0,170295.62,9.0,14627.01,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
38.0,183001.89,9.0,0.0,0.0,40.0,Private,12th,Widowed,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
41.0,200327.78,10.0,0.0,0.0,40.0,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,Canada,<=50K
56.0,275104.9,9.0,0.0,0.0,30.0,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
37.0,115497.01,9.0,0.0,0.0,29.5791,Local-gov,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
19.0,225858.48,9.0,0.0,0.0,1.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
64.0,136283.42,1.0,0.0,0.0,1.0,Private,5th-6th,Divorced,Other-service,Not-in-family,Black,Male,United-States,<=50K
30.0,207272.11,10.0,0.0,0.0,40.0,Local-gov,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
24.0,136652.03,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
18.0,246993.45,1.0,0.0,0.0,25.0,Private,5th-6th,Never-married,Handlers-cleaners,Other-relative,White,Male,Guatemala,<=50K
27.0,136101.72,10.0,0.0,0.0,40.0,,Some-college,Never-married,,Own-child,White,Female,United-States,<=50K
38.0,200397.1,9.0,0.0,3770.0,25.0,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
29.0,35328.285,9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
40.0,133919.84,13.0,0.0,0.0,60.0,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
20.0,202832.5,9.0,0.0,0.0,55.0,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,<=50K
41.0,299333.47,1.0,99999.0,0.0,99.0,Local-gov,7th-8th,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
51.0,192051.22,1.0,0.0,0.0,42.0,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
56.0,181136.2,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Protective-serv,Husband,Black,Male,Peru,<=50K
68.59222,169619.58,13.0,99999.0,3770.0,50.0,Self-emp-not-inc,Bachelors,Divorced,Sales,Not-in-family,White,Male,United-States,>50K
36.0,299634.94,11.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
35.0,145546.34,10.0,0.0,0.0,40.0,Private,Some-college,Married-spouse-absent,Craft-repair,Unmarried,Other,Female,United-States,<=50K
40.0,213547.03,9.0,15024.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,>50K
41.0,13492.0,13.0,0.0,0.0,55.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
57.0,199757.94,9.0,0.0,0.0,1.0,Private,HS-grad,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K
37.0,131884.83,10.0,2905.852,0.0,50.0,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
62.0,184146.94,10.0,0.0,3770.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
37.0,132239.17,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
24.0,242766.19,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,<=50K
35.0,308410.06,9.0,0.0,0.0,45.0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
32.0,213190.72,9.0,0.0,0.0,84.82031,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,United-States,>50K
37.0,169051.47,13.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,>50K
22.0,194837.0,10.0,0.0,0.0,43.42306,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
45.0,81826.97,15.0,0.0,0.0,40.0,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
28.0,102617.75,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
90.0,186841.81,13.0,0.0,0.0,40.0,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
51.0,62753.76,10.0,0.0,0.0,40.0,Self-emp-inc,Some-college,Divorced,Sales,Not-in-family,White,Male,United-States,>50K
48.0,141536.55,10.0,0.0,0.0,50.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
36.0,270568.9,12.0,0.0,0.0,45.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
26.0,241634.27,10.0,0.0,0.0,50.0,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,>50K
46.0,277936.12,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
24.0,190871.27,13.0,0.0,0.0,40.0,Local-gov,Bachelors,Never-married,Adm-clerical,Other-relative,White,Female,United-States,<=50K
30.0,174748.8,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,United-States,>50K
32.0,186921.02,10.0,0.0,0.0,40.0,,Some-college,Never-married,,Not-in-family,White,Female,United-States,<=50K
17.0,187315.12,1.0,0.0,0.0,1.0,Private,11th,Never-married,Other-service,Own-child,White,Male,England,<=50K
36.0,297936.9,13.0,99999.0,0.0,40.0,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
35.0,184650.17,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
39.0,141460.2,5.0,0.0,0.0,1.0,Private,7th-8th,Widowed,Farming-fishing,Not-in-family,White,Female,United-States,<=50K
38.0,196302.16,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
41.0,211049.0,1.0,99999.0,0.0,40.0,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
41.0,266754.38,10.0,0.0,0.0,99.0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
52.0,180261.92,13.0,0.0,0.0,40.0,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,United-States,>50K
36.0,140693.67,11.0,0.0,0.0,40.0,Private,Assoc-acdm,Widowed,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
39.0,248157.61,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,Peru,<=50K
90.0,159419.02,1.0,0.0,0.0,40.0,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,<=50K
29.0,199438.8,10.0,0.0,0.0,32.0,Private,Some-college,Never-married,Other-service,Other-relative,White,Female,United-States,<=50K
25.0,136752.14,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
47.0,135209.89,9.0,0.0,0.0,15.0,,HS-grad,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
18.0,141113.77,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
41.0,48451.723,9.0,0.0,0.0,40.0,Self-emp-not-inc,10th,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
36.0,134738.89,13.0,0.0,0.0,59.729313,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
22.0,240180.77,13.0,0.0,0.0,1.0,Private,Assoc-acdm,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
26.0,168972.05,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
22.0,196455.05,10.0,0.0,0.0,38.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
38.0,169505.36,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
17.0,183080.78,9.0,0.0,0.0,50.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
44.0,178009.42,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
26.0,257870.53,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,United-States,<=50K
19.0,197866.27,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Female,United-States,<=50K
44.0,186887.56,9.0,0.0,0.0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
45.0,164900.52,8.0,0.0,0.0,40.0,Private,9th,Separated,Handlers-cleaners,Own-child,Black,Male,United-States,<=50K
56.0,206003.66,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
26.0,200979.22,9.0,5525.8027,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,<=50K
27.0,203488.88,4.0,0.0,1902.0,40.0,Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
37.0,201854.08,9.0,0.0,0.0,99.0,Private,HS-grad,Divorced,Transport-moving,Unmarried,White,Male,United-States,<=50K
36.0,13492.0,10.0,0.0,0.0,40.0,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,United-States,<=50K
28.0,182803.9,9.0,99999.0,0.0,1.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
43.0,187284.02,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,United-States,>50K
28.0,370114.44,9.0,0.0,0.0,40.0,Federal-gov,Some-college,Divorced,Adm-clerical,Own-child,White,Female,United-States,<=50K
57.0,164692.39,1.0,0.0,0.0,40.0,Private,7th-8th,Divorced,Other-service,Not-in-family,Black,Female,United-States,<=50K
55.0,213133.9,13.0,99999.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
90.0,1484705.0,14.0,99999.0,0.0,48.0,State-gov,Masters,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,United-States,>50K
30.0,341149.5,9.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
21.0,211304.55,7.0,0.0,0.0,40.0,Private,9th,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
66.0,114834.7,1.0,0.0,0.0,40.0,Self-emp-not-inc,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
36.0,160249.11,10.0,0.0,0.0,40.0,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
90.0,124155.984,11.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Adm-clerical,Unmarried,White,Male,United-States,<=50K
90.0,161550.97,10.0,5013.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
49.0,1484705.0,14.0,99999.0,0.0,55.0,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,>50K
33.0,386747.44,1.0,0.0,0.0,40.0,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,<=50K
90.0,218472.95,5.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
58.0,266639.5,13.0,0.0,0.0,42.0,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
54.0,123083.98,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
25.0,192665.28,5.0,0.0,0.0,40.0,Self-emp-not-inc,5th-6th,Never-married,Farming-fishing,Not-in-family,White,Male,Mexico,<=50K
23.0,195558.5,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,Vietnam,<=50K
17.0,312649.1,10.0,0.0,0.0,1.0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
18.0,163209.67,1.0,0.0,0.0,1.0,Private,10th,Never-married,Sales,Own-child,White,Male,United-States,<=50K
37.0,206584.5,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,Mexico,<=50K
58.0,219360.28,1.0,0.0,0.0,40.0,Private,10th,Divorced,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
38.0,173675.39,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
28.0,220958.92,9.0,0.0,0.0,56.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
23.0,181101.06,10.0,15024.0,0.0,40.0,State-gov,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,United-States,>50K
51.0,196369.64,10.0,15713.9375,0.0,40.0,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,>50K
26.0,142769.73,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
30.335659,232574.28,9.0,0.0,3770.0,40.0,,HS-grad,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
17.0,127719.945,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Female,United-States,<=50K
56.0,299015.0,9.0,0.0,0.0,56.0,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States,>50K
54.0,186428.34,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Separated,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
31.0,214679.05,9.0,0.0,0.0,50.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
41.0,204695.8,1.0,0.0,0.0,40.0,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
49.0,168689.48,13.0,99999.0,0.0,50.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
31.0,207065.7,9.0,0.0,0.0,40.0,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
54.0,198814.7,14.0,0.0,0.0,50.0,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
41.0,252092.9,10.0,0.0,0.0,12.1092415,Private,Some-college,Divorced,Sales,Unmarried,White,Male,United-States,<=50K
65.0,163202.17,13.0,0.0,0.0,1.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
43.0,13492.0,9.0,0.0,0.0,20.0,,HS-grad,Never-married,,Own-child,White,Male,United-States,<=50K
74.0,79284.6,10.0,0.0,0.0,40.0,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,United-States,<=50K
39.0,201141.14,1.0,0.0,0.0,40.0,Self-emp-not-inc,10th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
21.0,207088.7,11.0,0.0,0.0,40.0,,Assoc-voc,Married-civ-spouse,,Husband,White,Male,United-States,<=50K
48.0,136971.4,9.0,0.0,0.0,34.240795,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
49.0,301622.1,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Protective-serv,Own-child,White,Male,United-States,<=50K
39.481857,188068.05,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
27.0,280798.4,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
27.0,188628.61,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
30.0,198309.98,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
42.0,208768.61,10.0,0.0,0.0,65.0,,Some-college,Married-civ-spouse,,Husband,White,Male,United-States,>50K
55.0,196375.11,15.0,7769.23,0.0,40.0,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
45.0,133097.34,13.0,0.0,0.0,40.0,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
33.0,143559.22,6.0,0.0,0.0,40.0,,10th,Divorced,,Not-in-family,White,Male,United-States,<=50K
